Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Years until sold
200057,2020,11/10/2020,Colchester,790 MIDDLETOWN RD,122000,119000,1.025210084,Residential,Single Family,0
200346,2020,3/4/2021,Glastonbury,476 WICKHAM RD,250300,360000,0.6952,Residential,Single Family,1
20472,2020,4/12/2021,East Hartford,89 NAUBUC AVE,68740,145000,0.474068966,Residential,Single Family,1
2000537,2020,9/23/2021,Cheshire,822 ROARING BROOK RD,262240,431000,0.6084,Residential,Single Family,1
200745,2020,9/3/2021,Branford,11 SEAVIEW AVE,661400,1380000,0.4792,Residential,Single Family,1
20016,2020,10/5/2020,Hartford,22 WESTLAND ST,31710,70000,0.453,Residential,Three Family,0
200463,2020,7/19/2021,Guilford,941 WEST LAKE AVE,250060,480000,0.5209,Residential,Single Family,1
200053,2020,10/22/2020,Glastonbury,176 POND CIR,183900,339000,0.5424,Residential,Single Family,0
200948,2020,6/29/2021,Manchester,250 BIRCH MOUNTAIN ROAD,197800,299000,0.6615,Residential,Single Family,1
201421,2020,7/16/2021,Greenwich,30 BRAMBLE LANE,1042650,1990000,0.5239,Residential,Single Family,1
200399,2020,6/22/2021,Guilford,318 EAST RIVER ST,224500,430000,0.522,Residential,Single Family,1
201237,2020,6/23/2021,Greenwich,33 MEADOWCROFT LANE,2226840,4200000,0.5302,Residential,Single Family,1
200124,2020,11/13/2020,Enfield,34 WYNWOOD DR,86320,160000,0.5395,Residential,Condo,0
201210,2020,9/13/2021,Hartford,162 EUCLID ST WEST,65453,190000,0.344489474,Residential,Single Family,1
200179,2020,11/5/2020,Danbury,7 PADANARAM RD #87,77500,130000,0.5961,Residential,Condo,0
200324,2020,6/29/2021,Killingly,45 SHEPARD HILL RD,35840,75000,0.4778,Vacant Land,Nan,1
200733,2020,3/23/2021,Danbury,55 MILL PLAIN RD 34-2,106300,195000,0.5451,Residential,Condo,1
200067,2020,11/12/2020,Cheshire,351 MIXVILLE RD,137400,90000,1.5266,Residential,Single Family,0
20330,2020,2/2/2021,East Hartford,1549 MAIN ST,257040,187500,1.3708,Commercial,Nan,1
20134,2020,11/19/2020,East Hartford,29 MOORE AVE,98890,202000,0.4895,Residential,Single Family,0
200853,2020,4/15/2021,Greenwich,1 HARBOR DRIVE,9730000,10000000,0.973,Residential,Single Family,1
201000,2020,10/1/2020,Griswold,24 PLEASANT VIEW STREET,94360,156000,0.6048,Residential,Single Family,0
200444,2020,4/16/2021,Enfield,21 SUSAN CIR,134190,223250,0.601,Residential,Single Family,1
200720,2020,4/27/2021,Bristol,195 FRENCH ST,122900,255000,0.4819,Residential,Single Family,1
200036,2020,2/2/2021,Cornwall,15 STONE HILL RD,92800,108000,0.8592,Vacant Land,Nan,1
20340,2020,2/4/2021,East Hartford,94 MADISON ST,92510,165000,0.5606,Residential,Single Family,1
201075,2020,8/2/2021,Manchester,13 RED ROCK LANE,182400,269900,0.6758,Residential,Single Family,1
200194,2020,5/11/2021,East Haddam,1 HILLSIDE RD,137270,309000,0.4442,Residential,Single Family,1
200231,2020,1/6/2021,Branford,49 ROSE ST TOWERS UNIT 404,96700,135000,0.716296296,Residential,Condo,1
200096,2020,11/6/2020,Groton,72 THAMES HEIGHT LN,109060,157000,0.6946,Residential,Condo,0
200052,2020,12/9/2020,Easton,10 STEPNEY ROAD,390530,858000,0.4551,Residential,Single Family,0
2000220,2020,3/10/2021,Cheshire,403 E MITCHELL AVE,37910,80000,0.4738,Residential,Condo,1
200612,2020,8/9/2021,Farmington,48 WELLINGTON DR,79620,155000,0.5136,Residential,Condo,1
200030,2020,11/12/2020,Killingworth,12 LIVEMORE TRAIL,75500,68500,1.1021,Residential,Single Family,0
200529,2020,5/17/2021,Enfield,2 ANN ST,131200,205000,0.64,Residential,Single Family,1
200250,2020,3/19/2021,Guilford,140 DUNK ROCK RD,186380,410000,0.4545,Residential,Single Family,1
200271,2020,8/13/2021,East Haddam,34 GLIMMER GLEN,211910,416000,0.5093,Residential,Single Family,1
20029,2020,3/10/2021,Colebrook,75 BEECH HILL ROAD,45890,164000,0.279817073,Vacant Land,Nan,1
201705,2020,9/9/2021,Greenwich,14 COMPLY TERRACE,466900,935000,0.4993,Residential,Single Family,1
200398,2020,6/29/2021,Madison,20 WILLOW LN,260400,560000,0.465,Residential,Single Family,1
200494,2020,1/14/2021,Greenwich,44 STIRRUP LANE,486640,825000,0.5898,Residential,Single Family,1
20000170,2020,6/7/2021,Granby,3 MORNINGSIDE DR,210840,350000,0.6024,Residential,Single Family,1
200579,2020,7/30/2021,Farmington,18 WINCHESTER COURT,112470,253000,0.4445,Residential,Condo,1
200102,2020,7/7/2021,East Granby,9 HEATHER LANE,136700,165000,0.8284,Residential,Single Family,1
20242,2020,12/23/2020,East Hartford,91 ARBUTUS ST,87880,183000,0.4802,Residential,Single Family,0
201214,2020,7/14/2021,Danbury,43 BRIARWOOD DR,151300,325000,0.4655,Residential,Condo,1
200392,2020,7/28/2021,Killingly,294 MASHENTUCK RD,32340,45000,0.7186,Vacant Land,Nan,1
201173,2020,8/12/2021,Bristol,135 NEWELL AVE,78540,150000,0.5236,Residential,Single Family,1
2020149,2020,3/1/2021,Ansonia,21 FAIRVIEW ST,107600,195000,0.5517,Residential,Single Family,1
2000306,2020,7/6/2021,Bloomfield,12 HIGH WOOD ROAD,260680,660000,0.3949,Residential,Single Family,1
201085,2020,5/28/2021,Greenwich,1465 EAST PUTNAM AVENUE #625,221200,405000,0.5461,Residential,Condo,1
20053,2020,12/7/2020,Derby,20 KINDLE LN,148610,254900,0.583,Residential,Single Family,0
200181,2020,12/9/2020,Branford,87 QUARRY DOCK RD,200200,425000,0.471,Residential,Condo,0
200002,2020,10/2/2020,Essex,38 GRANDVIEW TERR #1,119400,290000,0.411724138,Residential,Condo,0
200192,2020,6/21/2021,Mansfield,47 RIDGE CIR,34000,55000,0.6181,Residential,Single Family,1
200093,2020,11/30/2020,Cheshire,1153 TUCKER RD,164220,260000,0.6316,Residential,Single Family,0
20188,2020,1/29/2021,Bethel,18 JACOBS LANE,559580,512500,1.091863415,Residential,Single Family,1
200713,2020,3/9/2021,Greenwich,26 NICHOLAS AVENUE,324240,580000,0.559,Residential,Single Family,1
201000,2020,7/1/2021,Bristol,105 BROOK ST,140770,235000,0.599,Residential,Single Family,1
200110,2020,1/29/2021,Litchfield,132 BANTAM LAKE RD,217280,415000,0.5235,Residential,Single Family,1
200780,2020,9/23/2021,Groton,64 LAURELWOOD RD,101360,250000,0.4054,Residential,Single Family,1
200409,2020,7/1/2021,Madison,36 WILDWOOD AVE,204300,345000,0.5921,Residential,Single Family,1
200473,2020,7/26/2021,Guilford,1265 GREAT HILL RD,334380,720000,0.4644,Residential,Single Family,1
200078,2020,1/21/2021,East Windsor,117 MELROSE RD,96650,230000,0.4202,Residential,Single Family,1
200033,2020,12/29/2020,Bethlehem,63 RIDGE ROAD,75500,30000,2.5166,Residential,Single Family,0
200075,2020,4/21/2021,Goshen,88 WEST HYERDALE DRIVE,394490,650000,0.6069,Residential,Single Family,1
20035,2020,10/16/2020,East Hartford,54 OLMSTED ST,91210,160000,0.57,Residential,Single Family,0
20406,2020,2/9/2021,Hartford,112 BALTIMORE ST,59885,252000,0.2376,Residential,Three Family,1
201234,2020,8/30/2021,Bristol,168 GREENE ST,86170,180000,0.4787,Residential,Two Family,1
20327,2020,5/13/2021,Darien,13 RAYMOND ST,475440,312500,1.5214,Residential,Single Family,1
200393,2020,4/1/2021,Glastonbury,468 MARLBOROUGH RD,570800,830000,0.6877,Residential,Single Family,1
200109,2020,4/5/2021,Canton,110 WINTERBOURNE LANE,127730,232000,0.5505,Residential,Condo,1
200288,2020,6/7/2021,Killingly,140 NO FRONTAGE RD,210280,439000,0.4789,Residential,Two Family,1
20057,2020,10/22/2020,East Hartford,42 NASSAU LN,70050,132900,0.527,Residential,Single Family,0
200108,2020,11/2/2020,Manchester,494 EAST CENTER STREET,169700,260000,0.6526,Residential,Single Family,0
200650,2020,7/6/2021,Glastonbury,194 WEIR ST,161300,290000,0.5562,Residential,Single Family,1
200012,2020,11/6/2020,Goshen,64 WELLSFORD DRIVE,164480,325000,0.506,Residential,Single Family,0
200416,2020,7/20/2021,East Lyme,16 NATHAN HALE DR,143850,750000,0.1918,Residential,Single Family,1
20112,2020,11/6/2020,Hartford,21 MAPLETON ST,55895,185000,0.3021,Residential,Two Family,0
20007,2020,10/1/2020,Hartford,735 MAPLE AVE,78645,325000,0.2419,Residential,Three Family,0
20568,2020,8/17/2021,Darien,48 LONG NECK POINT ROAD,2073190,3450000,0.6009,Residential,Single Family,1
200580,2020,3/1/2021,Manchester,77 CHESTNUT STREET,108500,199900,0.5427,Residential,Single Family,1
200609,2020,3/24/2021,Bristol,258 MORNINGSIDE DR WEST,155780,256300,0.6078,Residential,Single Family,1
20395,2020,2/3/2021,Hartford,224 FRANKLIN AVE,54775,318000,0.1722,Residential,Three Family,1
200788,2020,9/20/2021,Branford,9 FLAT ROCK RD EXT,208700,405000,0.5153,Residential,Single Family,1
2020141,2020,1/25/2021,Berlin,33 GARDEN DRIVE,170200,289500,0.58791019,Residential,Single Family,1
200062,2020,10/21/2020,Groton,552B SHENNECOSSETT RD,60970,135000,0.4516,Residential,Condo,0
20131,2020,11/13/2020,Hartford,125 MATHER ST,39025,117420,0.3323,Residential,Single Family,0
200796,2020,5/20/2021,Manchester,47 COTTAGE STREET,93700,200000,0.4685,Residential,Single Family,1
201738,2020,9/16/2021,Greenwich,323 ORCHARD STREET,675500,1650000,0.4093,Residential,Single Family,1
200078,2020,7/8/2021,Bethlehem,58 EAST ST,123500,329900,0.374355865,Residential,Single Family,1
20686,2020,4/26/2021,Hartford,99 BARBOUR ST,25550,7000,3.65,Vacant Land,Nan,1
200032,2020,11/20/2020,Bethany,41 EMERALD LN,95620,132000,0.7243,Vacant Land,Nan,0
200156,2020,9/22/2021,Beacon Falls,22 BROCKTON COURT,90550,190000,0.4765,Residential,Condo,1
20406,2020,6/15/2021,Darien,3 PARK LANE,581210,851000,0.6829,Residential,Single Family,1
20236,2020,12/14/2020,Hartford,62 VINELAND TERR,39970,55000,0.726727273,Residential,Two Family,0
200202,2020,11/20/2020,Bristol,316 TYLER WAY,167720,325000,0.516,Residential,Single Family,0
2000200,2020,1/11/2021,Cheshire,1739 MARION RD,207530,350000,0.5929,Residential,Single Family,1
20499,2020,9/14/2021,Bethel,31 WHIPPOORWILL ROAD,226520,408500,0.5545,Residential,Single Family,1
200080,2020,12/14/2020,Coventry,2448 BOSTON TPK,107800,164100,0.6569,Residential,Single Family,0
200506,2020,9/14/2021,East Lyme,49 SUNSET AVE,284270,757000,0.375521797,Residential,Single Family,1
200272,2020,7/7/2021,Coventry,27 MINK TR,41100,80000,0.5137,Residential,Single Family,1
20060,2020,10/30/2020,Farmington,2 MALS WAY,309930,550000,0.5635,Residential,Single Family,0
20029,2020,10/9/2020,Hartford,170 PEMBROKE ST,50750,75000,0.676666667,Residential,Single Family,0
200149,2020,2/5/2021,Killingly,24 CENTER ST,44660,32900,1.357446809,Commercial,Nan,1
200202,2020,2/26/2021,Avon,275 WEST MAIN STREET,265497,111070,2.3903,Residential,Single Family,1
2020134,2020,1/19/2021,Berlin,359 WETHERSFIELD ROAD,181700,267500,0.6792,Residential,Single Family,1
200783,2020,9/17/2021,Branford,54 NO MAIN ST,202600,450000,0.4502,Commercial,Nan,1
201039,2020,6/8/2021,Danbury,8 BEAR MOUNTAIN RD,204800,330000,0.620606061,Residential,Single Family,1
200318,2020,3/1/2021,Branford,12C PINEVIEW,81500,142500,0.5719,Residential,Condo,1
200013,2020,10/5/2020,Branford,83 JEFFERSON WOODS,108900,199900,0.5447,Residential,Condo,0
200478,2020,9/28/2021,Killingly,530 CHRISTOPHER WAY,126490,250000,0.5059,Residential,Single Family,1
20050,2020,12/2/2020,Derby,130 MT PLEASANT ST,102130,93210,1.0956,Residential,Single Family,0
200395,2020,3/15/2021,Enfield,1 OLDE MAPLE FARMS,72300,147500,0.4901,Residential,Condo,1
200316,2020,4/5/2021,Farmington,44 OMERA FARM DR,215660,378400,0.5699,Residential,Condo,1
20069,2020,4/15/2021,Lebanon,RYAN TERRACE (103-29),27590,11000,2.508181818,Vacant Land,Nan,1
20880,2020,6/15/2021,Hartford,12 BALDWIN ST,62402,200000,0.312,Residential,Single Family,1
200234,2020,4/5/2021,Avon,239 OLD FARMS ROAD 11B,52600,84000,0.6261,Residential,Condo,1
200069,2020,1/13/2021,Hebron,30 GRISWOLD LANE,326970,600000,0.5449,Residential,Single Family,1
200639,2020,3/24/2021,Manchester,468 WOODBRIDGE STREET UNIT 16,29800,60000,0.4966,Residential,Condo,1
200453,2020,8/9/2021,Avon,68 MOUNTAIN VIEW AVENUE,242280,425000,0.57,Residential,Single Family,1
200595,2020,2/5/2021,Greenwich,45 1/2 RODWELL AVENUE UNB,342370,176750,1.937,Residential,Condo,1
201021,2020,7/23/2021,Hartford,133 OAKLAND TER,71552,230578,0.310315815,Residential,Three Family,1
2020321,2020,7/9/2021,Berlin,286 ROBBINS RD,157200,174500,0.9008,Residential,Single Family,1
200145,2020,5/10/2021,Mansfield,72 MANSFIELD CITY RD,91800,203000,0.4522,Residential,Single Family,1
200049,2020,4/27/2021,Cornwall,91 CEMETERY HILL RD,154100,225000,0.6848,Residential,Single Family,1
20033,2020,1/21/2021,Lisbon,521 RIVER RD,95810,87500,1.094971429,Residential,Single Family,1
201138,2020,3/11/2021,Griswold,9 HALEY MEADOW RD,239330,365000,0.6556,Residential,Single Family,1
200921,2020,5/11/2021,Danbury,27 CROWS NEST LA 6B,106100,242000,0.4384,Residential,Condo,1
201622,2020,8/20/2021,Greenwich,14 BUCKINGHAM LANE,962360,1623000,0.5929,Residential,Single Family,1
200063,2020,1/4/2021,East Windsor,86 WINDSORVILLE RD,77860,239000,0.3257,Residential,Single Family,1
200868,2020,4/27/2021,Danbury,42 JEFFERSON AV,193100,375000,0.5149,Residential,Two Family,1
200281,2020,4/14/2021,Madison,126 WOODSVALE RD,195600,351000,0.5572,Residential,Single Family,1
20028,2020,10/19/2020,Bethel,6 SAXON ROAD,184380,380000,0.4852,Residential,Single Family,0
200153,2020,3/22/2021,Coventry,142 DALY RD,107300,234000,0.4585,Residential,Single Family,1
2000306,2020,5/7/2021,Cheshire,20 MONARCH PL,125060,835000,0.149772455,Residential,Single Family,1
200498,2020,5/5/2021,Enfield,20 ORBIT DR,136430,255000,0.535,Residential,Single Family,1
200290,2020,11/20/2020,Manchester,400 NORTH MAIN STREET,67600,102346,0.6605,Residential,Condo,0
200002,2020,10/1/2020,Avon,10 ARLINGTON DRIVE,392430,620000,0.6329,Residential,Single Family,0
200317,2020,6/3/2021,Avon,17 WALNUT LANE,130400,245500,0.5311,Residential,Condo,1
200304,2020,3/29/2021,Farmington,1660-15 FARMINGTON AV,55430,97350,0.5693,Residential,Condo,1
200366,2020,6/29/2021,Avon,18 HERITAGE DRIVE,86240,158000,0.5458,Residential,Condo,1
200796,2020,8/5/2021,Enfield,21 COPPER DR,139440,286000,0.4875,Residential,Single Family,1
200031,2020,10/19/2020,Madison,52 FOREST HILLS DR,371400,579000,0.6414,Residential,Single Family,0
201157,2020,8/27/2021,Hartford,50 EUCLID ST WEST,57036,111000,0.5138,Residential,Single Family,1
200656,2020,7/28/2021,Branford,58 BRADLEY ST,292900,2425000,0.1207,Residential,Two Family,1
200085,2020,3/25/2021,Killingworth,34 RUNNING BROOK DRIVE,382370,599000,0.6383,Residential,Single Family,1
200873,2020,4/28/2021,Danbury,94 WOODCREST LA,187000,325000,0.5753,Residential,Condo,1
20589,2020,4/1/2021,Hartford,40 OWEN ST #C2,15085,54900,0.2747,Residential,Condo,1
200737,2020,4/30/2021,Bristol,15 MARTIN RD,74550,157000,0.4748,Residential,Single Family,1
200566,2020,1/8/2021,Manchester,60 WHITNEY ROAD,89300,65000,1.373846154,Residential,Single Family,1
200805,2020,8/26/2021,Glastonbury,28 TALCOTT RD,163100,336000,0.4854,Residential,Single Family,1
20489,2020,4/20/2021,East Hartford,151 OXFORD DR,88420,201000,0.4399,Residential,Single Family,1
200141,2020,11/24/2020,Groton,78 NOANK LEDYARD RD,117040,284000,0.412112676,Residential,Single Family,0
200440,2020,5/3/2021,East Haven,118 MORGAN AVE,382590,555000,0.6893,Residential,Single Family,1
200417,2020,7/22/2021,Avon,126 COLD SPRING ROAD,281370,447500,0.6287,Residential,Single Family,1
200495,2020,8/5/2021,Guilford,34 STATE ST,113310,222000,0.5104,Residential,Single Family,1
200244,2020,8/31/2021,East Windsor,252 SCANTIC RD,152000,320000,0.475,Residential,Single Family,1
20499,2020,4/27/2021,East Hartford,10 WOODSTOCK PL,83980,160000,0.5248,Residential,Single Family,1
200399,2020,12/28/2020,Manchester,65 ESSEX STREET,60400,140000,0.4314,Residential,Single Family,0
200501,2020,5/18/2021,Glastonbury,110 FAIRWAY XING,344600,616000,0.5594,Residential,Single Family,1
200014,2020,10/13/2020,Coventry,189 TROWBRIDGE RD,116800,208000,0.5615,Residential,Single Family,0
201447,2020,9/1/2021,Danbury,53 NORTH ST 2,125100,155000,0.807,Commercial,Nan,1
200471,2020,5/4/2021,Glastonbury,373 GRISWOLD ST,147800,270000,0.5474,Residential,Single Family,1
2020164,2020,3/24/2021,Ansonia,19 JACKSON ST,109000,227000,0.4801,Residential,Two Family,1
2020017,2020,10/20/2020,Ansonia,228 PRINDLE AVE,119100,221450,0.5378,Residential,Single Family,0
200037,2020,11/3/2020,Cromwell,30 FIELD RD,324100,556000,0.5829,Residential,Single Family,0
200737,2020,3/16/2021,Greenwich,157 PUTNAM PARK,54118680,450000,120.2637333,Residential,Condo,1
200358,2020,3/29/2021,Groton,2266 GOLD STAR HWY,80430,175000,0.4596,Residential,Condo,1
201259,2020,6/25/2021,Greenwich,11 LE GRANDE AVENUE,524930,1375000,0.3817,Residential,Three Family,1
200024,2020,10/5/2020,Danbury,55 MILL PLAIN RD 19-4,129500,239900,0.5398,Residential,Condo,0
20046,2020,7/1/2021,Franklin,191 BALTIC RD,132270,280000,0.4723,Residential,Single Family,1
200136,2020,11/18/2020,Branford,13 MALTBY ST,285900,439000,0.6512,Residential,Single Family,0
201005,2020,6/1/2021,Danbury,43 MERRIMAC ST,287700,532500,0.5402,Residential,Two Family,1
200022,2020,12/7/2020,Chester,9 WATER ST,309850,210000,1.4754,Commercial,Nan,0
200080,2020,5/3/2021,Goshen,LOT 20  MEADOWCREST SOUTH,89150,100000,0.8915,Vacant Land,Nan,1
200357,2020,7/12/2021,Killingly,13 ROSEDALE ST,111510,145000,0.769,Residential,Single Family,1
200951,2020,6/29/2021,Manchester,326 WOODBRIDGE STREET,98000,200000,0.49,Residential,Single Family,1
2000280,2020,6/23/2021,Bloomfield,15 PATTON ROAD,98350,185000,0.5316,Residential,Single Family,1
200526,2020,1/20/2021,Greenwich,11 RIVER ROAD UN108,494970,680000,0.7278,Residential,Condo,1
200473,2020,9/21/2021,Killingly,13 ORANGE ST,106890,226000,0.4729,Residential,Single Family,1
200055,2020,11/19/2020,East Haddam,130 FALLS RD,101440,187000,0.5424,Residential,Single Family,0
200295,2020,2/12/2021,Branford,99 TODDS HILL RD,326800,530000,0.6166,Residential,Single Family,1
200225,2020,2/2/2021,Farmington,24 RED STONE WAY,141030,220000,0.641,Residential,Condo,1
20936,2020,6/28/2021,Hartford,54 TREDEAU ST,93271,267000,0.3493,Residential,Single Family,1
200445,2020,5/5/2021,East Haven,16 HENRY ST,78740,196550,0.400610532,Residential,Single Family,1
20153,2020,11/24/2020,East Hartford,56 COLUMBUS CIR,135070,215000,0.6282,Residential,Two Family,0
200077,2020,12/10/2020,East Haddam,75 SALEM RD,196320,191000,1.027853403,Residential,Single Family,0
200612,2020,2/17/2021,Danbury,5 MAZUR DR,132900,239000,0.556,Residential,Single Family,1
201178,2020,9/2/2021,Hartford,188 WHITNEY ST,130573,318000,0.4106,Residential,Three Family,1
200295,2020,9/21/2021,East Haddam,68 MOODUS LEESVILLE RD,102350,210000,0.4873,Residential,Single Family,1
200613,2020,8/10/2021,Farmington,11 VINE HILL RD,417760,640000,0.6527,Residential,Single Family,1
200131,2020,9/16/2021,Bethany,341 AMITY RD,173250,405000,0.4277,Residential,Single Family,1
201016,2020,7/6/2021,Bristol,365 ALLENTOWN RD UN 11,10850,272000,0.039889706,Residential,Condo,1
200260,2020,11/20/2020,Greenwich,386 RIVERSVILLE ROAD,912380,1810000,0.504,Residential,Single Family,0
200255,2020,4/5/2021,East Lyme,4 COVE DR,201880,391000,0.5163,Residential,Two Family,1
2000023,2020,10/15/2020,Cheshire,100 SORGHUM MILL DR,257020,392000,0.6556,Residential,Single Family,0
20000137,2020,4/12/2021,Granby,9 REED HILL RD,516170,729900,0.7071,Residential,Single Family,1
200868,2020,4/19/2021,Greenwich,17 TAYLOR DRIVE,690690,1260000,0.5481,Residential,Single Family,1
200139,2020,12/10/2020,Guilford,409 WILLOW RD,380850,625000,0.6093,Residential,Single Family,0
200462,2020,1/29/2021,Bristol,102 TULIP ST,115360,165000,0.6991,Residential,Two Family,1
20807,2020,5/26/2021,Hartford,230 CORNWALL  ST,60900,125000,0.4872,Residential,Two Family,1
200518,2020,2/8/2021,Manchester,102 WETHERELL STREET UNIT 14,89200,125000,0.7136,Residential,Condo,1
200423,2020,4/28/2021,East Haven,18 STODDARD RD,126340,50000,2.5268,Residential,Single Family,1
200713,2020,8/24/2021,Branford,4A THIMBLE ISLE,52500,125000,0.42,Residential,Condo,1
20255,2020,12/18/2020,Hartford,204 CHESHIRE ST,46900,207000,0.2265,Residential,Single Family,0
200034,2020,6/7/2021,Chaplin,47 NYBERG RD,165200,250000,0.6608,Residential,Single Family,1
200162,2020,1/12/2021,East Lyme,38 GURLEY RD,159460,243000,0.6562,Residential,Two Family,1
200740,2020,3/25/2021,Danbury,2 FAIRFIELD CT,252300,450000,0.5606,Residential,Single Family,1
200269,2020,5/26/2021,Killingly,208 WHETSTONE MILLS,39830,72000,0.5531,Residential,Condo,1
201587,2020,8/13/2021,Greenwich,42 ALEXANDER STREET,373310,678000,0.55060472,Residential,Three Family,1
200064,2020,3/25/2021,Beacon Falls,30 GRUBER ROAD,134570,229900,0.5853,Residential,Single Family,1
200010,2020,10/29/2020,Beacon Falls,8 WOODLAND PATH,0,599505,0,Residential,Condo,0
200871,2020,8/31/2021,Enfield,122 CANDLEWOOD,94270,215000,0.4384,Residential,Condo,1
200206,2020,7/21/2021,East Windsor,29 CHURCH ST,146660,254500,0.5762,Residential,Single Family,1
200217,2020,11/25/2020,Bristol,25 HIGH ST,258370,307000,0.8415,Residential,Two Family,0
201242,2020,6/1/2021,Cromwell,147 SHUNPIKE ROAD,161770,285000,0.5676,Residential,Single Family,1
20383,2020,1/29/2021,Hartford,94 FLATBUSH AVE,69020,230000,0.3,Residential,Three Family,1
200115,2020,5/24/2021,Hebron,164 BURROWS HILL RD,388070,610000,0.6361,Residential,Single Family,1
200822,2020,5/17/2021,Manchester,53 DEEPWOOD DRIVE,130700,245000,0.5334,Residential,Single Family,1
20956,2020,7/2/2021,Hartford,95 RUSS ST,85996,250000,0.3439,Residential,Three Family,1
201402,2020,8/24/2021,Danbury,305 LARSON DR,188600,360000,0.5238,Residential,Condo,1
201090,2020,7/27/2021,Bristol,77 WILLIS ST,115780,260000,0.4453,Residential,Two Family,1
200581,2020,6/21/2021,Branford,13 GROVE CT,57000,117900,0.4834,Residential,Condo,1
200312,2020,4/1/2021,Farmington,41 WELLINGTON DR,64550,112000,0.5763,Residential,Condo,1
20004,2020,10/2/2020,Farmington,77 HAROLD RD,206110,330000,0.6245,Residential,Single Family,0
200558,2020,7/1/2021,East Haven,30 PROSPECT PL EXT,226220,450000,0.5027,Residential,Two Family,1
200386,2020,3/10/2021,Enfield,1 KNOLLWOOD CIR,180050,300000,0.6001,Residential,Condo,1
200004,2020,10/6/2020,Coventry,34 FARMSTEAD LN,288800,400000,0.722,Residential,Single Family,0
20467,2020,8/25/2021,Bethel,21 KINGSWOOD DRIVE,181020,365000,0.4959,Residential,Condo,1
200664,2020,4/1/2021,Manchester,24 NORMAN STREET,132800,240000,0.5533,Residential,Two Family,1
201026,2020,7/7/2021,Bristol,23 HURLEY HILL RD,101290,175000,0.5788,Residential,Single Family,1
2020377,2020,8/25/2021,Berlin,196 PATTERSON WAY,157100,320000,0.4909375,Residential,Single Family,1
2020266,2020,5/26/2021,Berlin,94 HICKORY HILL RD,218000,341000,0.6392,Residential,Single Family,1
200449,2020,5/5/2021,Branford,4 HAMPTON PARK,109300,230000,0.4752,Residential,Condo,1
200047,2020,1/11/2021,Goshen,WL294 ASHLEY DRIVE,71060,65000,1.0932,Vacant Land,Nan,1
20855,2020,8/26/2021,East Hartford,132 RISLEY ST,79360,165000,0.4809,Residential,Single Family,1
200061,2020,11/5/2020,Madison,5 MADRINA LN,190100,330000,0.576,Residential,Single Family,0
200156,2020,12/4/2020,Glastonbury,247-249 HUBBARD ST,280300,380000,0.7376,Apartments,Nan,0
200057,2020,11/3/2020,Cheshire,13 COPPER VALLEY CT,417820,601050,0.6951,Residential,Single Family,0
200389,2020,12/22/2020,Danbury,21 OHEHYAHTAH PL,22400,100000,0.224,Vacant Land,Nan,0
20194,2020,2/25/2021,Darien,11 SEARLES ROAD,1658650,2050000,0.809,Residential,Single Family,1
200031,2020,10/29/2020,Cromwell,38 FAWN RUN,312410,443000,0.7052,Residential,Single Family,0
201655,2020,8/26/2021,Greenwich,31 MARK ROAD,915110,1458000,0.6276,Residential,Single Family,1
200154,2020,5/25/2021,Essex,45 WEST HILLS RD,242300,459900,0.5268,Residential,Single Family,1
201284,2020,6/30/2021,Greenwich,18 CANDLELIGHT,871010,2100000,0.4147,Residential,Single Family,1
200629,2020,8/13/2021,Farmington,2 FOREST PARK DR(LAND+BLDS)=10,5223790,5914759,0.8831,Commercial,Nan,1
200173,2020,8/4/2021,Hebron,28 OLDE HALL RD,206400,350000,0.5897,Residential,Single Family,1
200435,2020,7/30/2021,East Lyme,13 ROXBURY RD,157990,334900,0.4717,Residential,Single Family,1
200109,2020,11/5/2020,Branford,29 GENTILE PL,166200,255000,0.6517,Residential,Single Family,0
200156,2020,5/20/2021,Canton,44 DRY BRIDGE ROAD,200100,408000,0.4904,Residential,Single Family,1
200133,2020,11/23/2020,Glastonbury,222 WILLIAMS ST E UNIT 303,64300,110000,0.5845,Residential,Condo,0
201167,2020,8/11/2021,Bristol,275 FERN HILL RD,141250,322000,0.438664596,Residential,Single Family,1
200015,2020,10/5/2020,Manchester,95 LEDGECREST TERRACE,175800,285000,0.6168,Residential,Single Family,0
200737,2020,9/2/2021,Groton,163 MORSE AVE,125160,305000,0.410360656,Residential,Single Family,1
200205,2020,12/23/2020,Branford,376 JEFFERSON WOODS,100500,190000,0.5289,Residential,Condo,0
2000160,2020,3/2/2021,Bloomfield,17 COTTAGE GROVE CIRCLE,88130,117718,0.748653562,Residential,Single Family,1
201362,2020,9/2/2021,Cromwell,26 PLEASANT ST,137900,247500,0.5571,Residential,Single Family,1
20529,2020,8/2/2021,Darien,11 WOODLAND DRIVE,733950,1400000,0.5242,Residential,Single Family,1
200644,2020,2/14/2021,Greenwich,60 GLEN RIDGE ROAD,963690,1637500,0.5885,Residential,Single Family,1
20000024,2020,10/29/2020,Granby,14 WINDMILL DR,100520,182000,0.5523,Residential,Condo,0
201174,2020,4/27/2021,Griswold,23 SOUTH MAIN ST UNIT 5,39550,969000,0.0408,Residential,Condo,1
201340,2020,9/21/2021,Bristol,78 LARDNER RD,100590,152751,0.658522694,Residential,Single Family,1
